Ref,Val,Package,PosX,PosY,Rot,Side
"LS1","SN74LVC1T45DCK","SOT-363_SC-70-6",125.351019,-64.487553,35.000000,top
"LS2","SN74LVC1T45DCK","SOT-363_SC-70-6",122.290068,-66.808577,40.000000,top
"LS3","SN74LVC1T45DCK","SOT-363_SC-70-6",119.412133,-69.368629,45.000000,top
"LS4","SN74LVC1T45DCK","SOT-363_SC-70-6",116.887279,-72.245554,50.000000,top
"VR1","TPS73601DBV","SOT-23-5",129.110104,-62.208525,30.000000,top
